"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fezf2",2.33078180877545e-33,9.33417993955213,0.891,0,4.40331299313858e-29
"Tle4",5.76226116325093e-33,6.24805305187194,0.957,0.047,1.08860637896137e-28
"Satb1",8.73777033889387e-23,4.01211419620561,0.891,0.148,1.65073957242383e-18
"Tcf4",2.42098356878627e-19,-1.8133307549433,0.935,0.992,4.57372215815101e-15
"Tbr1",1.44415951716405e-17,6.98626678955107,0.5,0,2.72830615982631e-13
"Foxp1",2.71310992287468e-17,3.05441201857398,0.891,0.312,5.12560726629485e-13
"Bhlhe22",5.4283845882802e-16,3.8646216212539,0.565,0.031,1.0255304164179e-11
"Pak1",3.57199493982439e-15,1.83534356209611,0.957,0.555,6.74821284031623e-11
"Dlx1",4.74569097293564e-13,-7.0984386654253,0,0.672,8.96555938607002e-09
"Id2",5.37635319736788e-12,-4.97464448058647,0.196,0.719,1.01570064604674e-07
"Bcl11a",9.32146733168436e-12,1.66029540176935,0.935,0.531,1.76101160830181e-07
"Prkca",1.02949103999346e-11,1.66182131342338,0.891,0.57,1.94491447275565e-07
"Nfix",1.78324697539349e-09,-1.68662339965474,0.609,0.852,3.36891018591338e-05
"Skil",5.15236747467239e-09,2.3384173092215,0.543,0.133,9.73385263315108e-05
"Bcl11b",2.03075715252395e-07,1.05444843431787,0.978,0.578,0.00383650641254824
"Auts2",2.20201771895334e-07,-3.31076983400846,0.087,0.516,0.00416005187464665
"H3f3b",3.19681390512038e-07,-1.03697091500268,0.826,0.961,0.00603942082955343
"Plcb1",7.9145448486806e-07,1.03517418222121,0.87,0.648,0.0149521581281274
"Tox",2.39824049420701e-06,1.6380866421121,0.543,0.172,0.0453075594165588
"Jade1",2.05597625054596e-05,1.44724610562033,0.587,0.25,0.388415033253142
"H1f0",3.15532355362801e-05,-1.96990184107132,0.326,0.594,0.596103725751403
"Nap1l1",4.92425928382222e-05,1.08228510691825,0.783,0.578,0.930291063899695
"Hdac11",8.98741229443122e-05,-2.04001487809273,0.239,0.516,1
"Ncoa1",0.000439782354654499,-1.45745181797582,0.326,0.594,1
"Gpx1",0.00291345337307724,1.28803808174689,0.565,0.336,1
"Uba1",0.00532446944638429,1.08512342207933,0.609,0.383,1
