"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hes5",0,7.63859598345821,0.714,0.017,0
"Fos",0,5.14543112111964,0.821,0.159,0
"Ccnd2",0,4.54918828987182,0.737,0.102,0
"Id2",0,2.75803203496254,0.989,0.431,0
"Meg3",0,-2.32138150040049,0.518,0.999,0
"Prdx1",0,2.83584686665544,0.935,0.564,0
"Basp1",2.11931353200806e-238,-1.63167064187172,0.318,0.946,4.00380712466963e-234
"Nap1l5",2.47307378417242e-232,-2.16645992230331,0.294,0.833,4.67213099305854e-228
"Nfia",1.43078232580494e-230,2.54818388198895,0.599,0.141,2.7030339699107e-226
"Tcf4",3.69608206635432e-217,-1.07330498161632,0.874,0.997,6.98263823975659e-213
"Ptma",6.52658375220021e-215,-1.02895395552263,0.852,0.994,1.23300220246566e-210
"Thra",6.88443669450393e-200,-1.23891661636624,0.56,0.967,1.30060778032568e-195
"Mef2c",3.82758431099494e-196,-1.34987461327783,0.438,0.951,7.23107228033164e-192
"Plcb1",7.11876506243581e-180,-2.25546881458244,0.202,0.709,1.34487709559537e-175
"Bcl11b",2.50025039065465e-160,-3.2508875554458,0.064,0.534,4.72347303802476e-156
"Zeb2",8.24645847418735e-157,-1.58836035890365,0.344,0.816,1.55792093494347e-152
"Tspyl4",1.65946042623535e-152,-2.19898021516141,0.174,0.637,3.13505263724383e-148
"Ybx1",1.06258399559889e-147,-1.1040150593955,0.556,0.919,2.00743368448542e-143
"Chd3",5.55877476764384e-145,-1.53860996475938,0.334,0.786,1.05016372910327e-140
"Actb",6.64685905382216e-138,-1.22605050400524,0.887,0.994,1.25572461244808e-133
"App",1.07726037878701e-137,-1.39659874850105,0.335,0.795,2.03516030760443e-133
"Morf4l2",8.68518826483861e-132,-1.1746215692755,0.501,0.889,1.64080576699331e-127
"Mef2a",1.60354953559314e-124,-1.941138992451,0.202,0.622,3.02942578264255e-120
"Bend6",1.1467766956391e-122,-1.72161308459549,0.206,0.638,2.16649053340139e-118
"Usp22",3.32261516754502e-114,-1.48852057358916,0.249,0.679,6.27708457452605e-110
"Ube2b",2.2047936200059e-110,-1.25471733770905,0.384,0.777,4.16529610691514e-106
"Actl6b",1.94093261791437e-106,-2.16666268176394,0.145,0.517,3.66680990176382e-102
"Znhit1",2.66473546680112e-105,-1.55464501905545,0.244,0.641,5.03421824388068e-101
"Smarca2",7.55636461303193e-104,-1.62829047439766,0.245,0.632,1.42754840269399e-99
"Arx",9.62197203075585e-102,-1.87213684618112,0.124,0.512,1.8177829560504e-97
"Top2b",7.25232909975694e-99,-1.48129056733455,0.246,0.635,1.37011001352608e-94
"Gpx1",1.58441253676776e-96,-1.42920419916092,0.278,0.649,2.99327216446166e-92
"Nucks1",2.00062212040278e-93,-1.02731446298021,0.41,0.806,3.77957530986492e-89
"Ndn",1.48350125493748e-78,-1.27981111997783,0.365,0.695,2.80263057082789e-74
"Mkrn1",2.9755534452349e-76,-1.14032772966597,0.294,0.647,5.62141556873777e-72
"Spin1",1.17822033309901e-71,-1.29445891076304,0.221,0.552,2.22589385329065e-67
"Coprs",3.96978893999619e-71,-1.29483036922574,0.218,0.549,7.4997252654408e-67
"Ppargc1a",4.08872687786335e-67,-1.30916933386501,0.233,0.548,7.72442281765944e-63
"Bcl11a",1.29176451588214e-65,-1.35119577783941,0.256,0.562,2.44040152340454e-61
"Satb1",4.81422021424812e-59,-1.50135493141071,0.244,0.517,9.09502482875754e-55
"Meaf6",2.98446637385628e-55,-1.20331909207147,0.218,0.5,5.63825387348928e-51
