"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sox10",0,-9.84738259490794,0.001,0.556,0
"Hmgb2",3.14943058368286e-124,-5.39642263163491,0.1,0.593,5.94990425869366e-120
"Meg3",9.21210852540903e-116,2.54054726724518,0.999,0.79,1.74035154262027e-111
"Mef2c",1.35345219088136e-96,2.45749746252705,0.99,0.327,2.55694187901307e-92
"Sirt2",6.85605197488713e-96,-5.77876368548914,0.235,0.724,1.29524533909568e-91
"Cdk4",2.70527536892571e-88,-2.70448269116394,0.336,0.808,5.11080622697445e-84
"Basp1",5.93472207865833e-74,1.81466703521023,0.974,0.463,1.12118769510013e-69
"Bcl11a",4.85637357785752e-70,3.31389098690834,0.795,0.117,9.17466096328843e-66
"Foxp1",2.33725719733297e-59,2.62963171812302,0.783,0.159,4.41554629720145e-55
"Bend6",2.95748224295269e-55,2.85109561674898,0.734,0.159,5.58727545338622e-51
"Gpx4",3.70971654953186e-50,1.00001853100587,0.982,0.818,7.00839650537558e-46
"Zbtb18",3.82404514794299e-44,1.95665411018064,0.777,0.238,7.22438609349389e-40
"Nfix",8.55189014416647e-41,1.45091260896224,0.867,0.425,1.61562308603593e-36
"Ran",2.88320298927225e-40,-1.44833070860334,0.723,0.86,5.44694708733314e-36
"Hnrnpk",1.72211095177451e-37,-1.13454138372216,0.74,0.86,3.2534120100924e-33
"Prdx1",2.59976051555761e-37,-1.52181613045897,0.604,0.799,4.91146756599143e-33
"Enc1",3.07671969215205e-33,2.29781832167801,0.604,0.145,5.81253884241366e-29
"Ube2b",1.54919151848824e-32,1.37573494013993,0.781,0.416,2.92673261672798e-28
"Actl6b",1.64222731957877e-32,3.20127498481631,0.509,0.075,3.10249585214822e-28
"Znhit1",1.63165952553253e-28,1.68576394477582,0.651,0.248,3.08253117563605e-24
"Hmgn1",4.81259167312262e-28,-1.65709179258246,0.634,0.785,9.09194818886325e-24
"Nsmf",1.58759023339155e-27,1.7398107514098,0.614,0.201,2.99927546892332e-23
"Smarca2",1.57349788034115e-26,1.75269255651509,0.602,0.206,2.9726521955405e-22
"Id2",3.63455664076747e-25,1.14957135802657,0.795,0.435,6.8664044057379e-21
"Nap1l5",1.24467186708448e-20,-1.37947249274433,0.479,0.687,2.35143409129601e-16
"Chtop",3.98917107384415e-20,-1.10516650516448,0.534,0.715,7.53634199270637e-16
"Usp22",7.12605509784064e-19,1.09622664271656,0.671,0.327,1.34625432908405e-14
"H1f0",3.85466808498671e-17,-1.42113967498959,0.459,0.626,7.2822389461569e-13
"Smyd2",7.08232793676098e-17,1.22660095714556,0.523,0.201,1.33799339381288e-12
"Hif1a",7.68262967148013e-17,-1.57584086714376,0.324,0.528,1.45140239753603e-12
"Maged1",2.24743836782886e-12,-1.09851570371182,0.436,0.575,4.24586056450228e-08
