"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fezf2",0,-6.92935082640403,0.029,0.901,0
"Tle4",1.16415807565396e-297,-4.47165911161823,0.077,0.78,2.19932743652546e-293
"Foxp1",1.19832888752449e-205,-3.24995464124712,0.353,0.978,2.26388293431127e-201
"Bhlhe22",9.24241296320873e-143,-3.612243096681,0.068,0.51,1.74607665700939e-138
"Tcf4",4.44193641064898e-136,1.73228894069991,0.997,0.863,8.39170626699805e-132
"Bcl11b",1.40885361961861e-102,-1.85375225480351,0.534,0.946,2.66160625818348e-98
"Bcl11a",8.37757038502784e-79,-1.37519104942457,0.562,0.952,1.58269059713946e-74
"Arx",2.03667589506014e-58,6.32823619909334,0.512,0.006,3.84768810094761e-54
"Nap1l5",8.26566645702089e-58,1.61109421838599,0.833,0.503,1.56154970706039e-53
"Zbtb18",1.59508262546635e-50,-1.62408848411988,0.242,0.608,3.01343009603104e-46
"Zeb2",4.20635040838559e-46,1.38936095766495,0.816,0.417,7.94663719152205e-42
"Enc1",5.66859389667147e-44,-1.54658377143956,0.274,0.605,1.07091075895917e-39
"Tshz3",4.73584163909705e-41,-1.46628508309137,0.372,0.685,8.94695202458215e-37
"Ppargc1a",7.43653372017075e-30,1.89237572780414,0.548,0.232,1.40490995041466e-25
"Glyr1",1.75542654295561e-27,-1.39463862308915,0.342,0.586,3.31635182495174e-23
"Coprs",2.69200678720542e-25,1.56117002540265,0.549,0.245,5.08573922238847e-21
"Smarca2",7.34620072473905e-21,1.19455415476958,0.632,0.389,1.3878442409177e-16
"Lsm11",1.87186336081129e-16,-1.00542652598505,0.355,0.548,3.53632426124469e-12
