"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sox10",0,9.81856466740162,0.556,0.002,0
"Mef2c",1.51866205357285e-130,-3.77000322004312,0.327,1,2.86905635160982e-126
"Meg3",1.7374736418461e-119,-2.59739434661632,0.79,0.999,3.28243520417566e-115
"Cdk4",3.01103905571083e-88,2.77186460090622,0.808,0.367,5.6884549840489e-84
"Sirt2",1.0331663097885e-87,5.75200197596416,0.724,0.276,1.95185779245244e-83
"Zbtb18",1.76754717976937e-81,-2.5364739701562,0.238,0.923,3.33925013202029e-77
"Basp1",5.42036596361311e-81,-1.88747843177278,0.463,0.983,1.02401553784579e-76
"Hmgb2",6.64587961097412e-76,4.63367511956862,0.593,0.174,1.25553957610523e-71
"Foxp1",5.43162992544546e-67,-3.19935891401375,0.159,0.794,1.02614352551516e-62
"Bcl11a",3.53665397628038e-62,-3.2620691310474,0.117,0.747,6.6814466919889e-58
"H3f3b",3.45501554211656e-61,1.00923223471559,1,0.998,6.5272153621666e-57
"Bend6",2.24320287594505e-60,-2.81580151687759,0.159,0.767,4.2378588732354e-56
"Enc1",3.05242107451109e-54,-2.68039550272553,0.145,0.74,5.76663389396636e-50
"Ran",3.35674897253336e-51,1.72600878825436,0.86,0.698,6.34157015891003e-47
"Satb2",1.59738398881061e-50,-3.47258290449477,0.075,0.645,3.017777831661e-46
"Prdx1",1.13304036912072e-47,1.84752427312163,0.799,0.559,2.14053986534287e-43
"Ppp3ca",1.75104856273436e-47,-1.24889170820473,0.589,0.953,3.30808094471776e-43
"Plk2",2.7596418139715e-43,-2.46345884215287,0.136,0.667,5.21351531495495e-39
"Bhlhe22",5.46643251216904e-42,-3.8395306489149,0.061,0.567,1.03271843019898e-37
"Hnrnpk",1.44306386498725e-40,1.19678871606139,0.86,0.759,2.72623625373391e-36
"Actl6b",9.77094043882842e-39,-3.21511478374697,0.075,0.562,1.84592606770347e-34
"H1f0",2.69750493040876e-33,2.14880339991081,0.626,0.366,5.09612631452822e-29
"Nsmf",8.59015929507579e-33,-1.77465408741252,0.201,0.663,1.62285289402572e-28
"Ube2b",1.25202241746271e-32,-1.29556766518123,0.416,0.802,2.36532075107056e-28
"Banp",2.65458096633503e-32,-2.54665714840169,0.093,0.539,5.01503436160013e-28
"Nfix",3.38889762339715e-32,-1.26302188714416,0.425,0.846,6.4023053901219e-28
"Lsm11",3.81989591680054e-29,-2.12717994099958,0.121,0.546,7.21654736601957e-25
"Znhit1",8.96697830429118e-27,-1.51741685858099,0.248,0.654,1.69404154124669e-22
"Hmgn1",6.50740210429032e-26,1.60803295151678,0.785,0.702,1.22937840554253e-21
"Atxn1",2.20617960506929e-25,-2.04155590559742,0.126,0.516,4.16791450989691e-21
"Smyd2",4.02213057499521e-25,-1.41522275222569,0.201,0.612,7.59860908228095e-21
"Pole4",2.21350197394135e-23,-1.17990297537448,0.374,0.747,4.18174792916999e-19
"Usp22",4.94086672558746e-23,-1.13667307010536,0.327,0.723,9.33428541797983e-19
"Smarca2",2.37676147016235e-22,-1.51309192357133,0.206,0.578,4.4901777694307e-18
"Trim37",7.16764649206069e-20,-1.55207858274481,0.145,0.501,1.35411177528011e-15
"Klhdc3",1.25722398490265e-16,-1.20388422856062,0.187,0.509,2.37514755227808e-12
"Prmt2",2.49693284113832e-15,-1.12560081516047,0.21,0.527,4.71720552347851e-11
"Spin1",3.52866222041317e-15,-1.02856966258735,0.229,0.53,6.66634866680457e-11
"Nap1l5",4.51259594336331e-15,1.19844051925149,0.687,0.567,8.52519625620196e-11
"Hmgn2",2.52791039387823e-10,1.09455463296014,0.654,0.61,4.77572831611475e-06
