"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Id2",1.44485053529657e-47,-4.11027939090823,0.274,0.989,2.72961163128228e-43
"Ptma",8.36612739957382e-43,2.0492373657138,1,0.852,1.58052878832749e-38
"Fos",7.05087736200576e-33,-4.74973690954927,0.107,0.821,1.33205175123013e-28
"Gpx1",2.50969938896636e-30,2.91984237633632,0.762,0.278,4.74132408563524e-26
"Hes5",1.36697528350994e-27,-6.68148823490643,0.036,0.714,2.58248970560699e-23
"Actb",1.66440514700154e-22,1.23577410841422,1,0.887,3.14439420371531e-18
"Ccnd2",4.91943655563353e-22,-2.5707236580448,0.143,0.737,9.29379954090287e-18
"Hmgb1",5.88719650439169e-16,1.28622631738626,0.893,0.577,1.11220916360968e-11
"Anp32b",1.07265066244494e-14,1.9947841525475,0.512,0.178,2.02645163149099e-10
"Hmgn1",7.7663599724281e-14,1.13326903666988,0.905,0.683,1.46722072599112e-09
"Ctnnb1",1.95637883300251e-12,1.5581661782997,0.595,0.257,3.69599089130835e-08
"Hmgb2",7.175037644385e-12,1.98879519256759,0.679,0.393,1.35550811177721e-07
"H1f0",1.61544287595447e-11,1.40351711316504,0.738,0.454,3.05189468125319e-07
"Npm1",1.39190980160618e-09,1.03451661820723,0.81,0.59,2.62959599719439e-05
"Dek",2.60351122466901e-08,1.05748986885407,0.607,0.331,0.00049185534056447
"Hmgn2",7.24607655073007e-08,1.70170447104346,0.536,0.3,0.00136892878196393
"Nfia",1.45736386085723e-07,-1.26319438647488,0.369,0.599,0.00275325180593148
"Nucks1",8.3952026932802e-07,1.07106546737868,0.631,0.41,0.015860216928145
"Nfix",1.63914346760442e-06,-1.18577147397272,0.214,0.505,0.0309666983899826
"Bmyc",3.41446027112143e-05,-1.22449459055278,0.333,0.525,0.64505983442026
"Dhx30",6.66971581968777e-05,-1.19348483893738,0.321,0.503,1
"Nap1l1",0.000119250223780701,1.00647621109853,0.571,0.404,1
