"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hmgb2",8.24577854864037e-46,4.82855357073793,0.679,0.174,1.55779248340914e-41
"Mef2c",2.83764487303816e-43,-2.30865404910207,0.655,1,5.36087869414369e-39
"Basp1",2.75378949566453e-39,-2.3968392816974,0.333,0.983,5.20245911520943e-35
"Meg3",2.0151555728097e-38,-1.72118076985064,0.738,0.999,3.80703190815208e-34
"Thra",1.2996174387662e-35,-1.91176448059401,0.464,0.988,2.4552372653171e-31
"Ptma",3.90900097516793e-35,1.39662231205257,1,0.996,7.38488464228725e-31
"Zbtb18",4.0292674585771e-33,-2.46038397299878,0.25,0.923,7.61209208274386e-29
"H3f3b",2.29270929187836e-31,1.09682303323776,1,0.998,4.3313863942166e-27
"Hmgn1",2.3760562176996e-27,1.90093157646992,0.905,0.702,4.48884540647809e-23
"H1f0",4.6596302331271e-26,2.75295027011973,0.738,0.366,8.80297343642371e-22
"Ppp3ca",4.8402891373472e-26,-1.58163092683339,0.464,0.953,9.14427423827632e-22
"Prdx1",1.0822274004199e-25,2.10575342712697,0.869,0.559,2.04454400487327e-21
"Bend6",2.71432843716793e-24,-2.6936027281953,0.143,0.767,5.12790928349766e-20
"Nfix",1.13803654432301e-23,-1.99058805444174,0.214,0.846,2.14997863953503e-19
"Apbb1",4.71779262622024e-23,-2.43967142161652,0.167,0.761,8.91285382945529e-19
"Gsk3b",9.01851177778295e-21,-1.49926872613013,0.476,0.925,1.70377724505875e-16
"Bcl11a",1.9974783914775e-20,-2.34262776317187,0.214,0.747,3.7736361771793e-16
"Plk2",3.45459724565505e-19,-2.57376381687852,0.155,0.667,6.52642511649153e-15
"Gpx1",4.7682160513291e-19,2.3030054105315,0.762,0.52,9.00811376417093e-15
"Enc1",4.93715730693422e-19,-2.20528901455743,0.214,0.74,9.32727758426012e-15
"Usp22",5.51927601624762e-19,-2.18794378220014,0.19,0.723,1.0427016249895e-14
"Satb2",1.72579255486153e-17,-2.48114730022096,0.143,0.645,3.2603672946444e-13
"Bmyc",1.13330674219125e-14,-1.50159217101928,0.333,0.784,2.14104309734771e-10
"Bhlhe22",2.55400844161134e-14,-2.71641499620732,0.131,0.567,4.82503274789215e-10
"Mkrn1",2.68884617200564e-14,-1.11894722902531,0.298,0.74,5.07976818815306e-10
"Plcb1",5.37282696717548e-14,-2.30680919577375,0.179,0.595,1.01503447063879e-09
"Foxp1",1.48457504502631e-13,-1.52683088209623,0.417,0.794,2.80465917506371e-09
"Id2",3.20655574117299e-13,-2.06023250702327,0.274,0.673,6.05782510622401e-09
"Chd3",4.29214084438318e-13,-1.33649745062922,0.333,0.756,8.1087124832087e-09
"Anp32b",4.79411321042559e-13,2.3340497357454,0.512,0.242,9.05703867713603e-09
"Prmt2",1.6925769846992e-12,-2.30991371956919,0.107,0.527,3.19761643949374e-08
"Nap1l5",2.15182761635413e-12,-2.11454516325959,0.143,0.567,4.06523273281622e-08
"Srpk2",2.23655420623977e-12,-1.17254381066421,0.405,0.821,4.22529820642817e-08
"Prkcb",2.47569889927879e-12,-1.87392776224496,0.202,0.615,4.67709036051749e-08
"Banp",4.2098994640052e-12,-2.30616623431869,0.143,0.539,7.95334206739862e-08
"Actl6b",4.46950370987271e-12,-1.99386041166358,0.155,0.562,8.44378640869153e-08
"Lsm11",4.60811164544592e-12,-2.22729705222034,0.143,0.546,8.70564452057643e-08
"Psip1",6.07918362056041e-12,-1.68687500293683,0.226,0.634,1.14847936959627e-07
"Ctnnb1",1.3545738970709e-11,1.63238229679867,0.595,0.326,2.55906100634635e-07
"Nsmf",1.85478120856512e-11,-1.47104029564965,0.25,0.663,3.50405265922122e-07
"Dhx30",1.01847687874964e-10,-1.34013743568649,0.321,0.703,1.92410651933383e-06
"Trim37",1.82564072811453e-10,-2.20923094591533,0.167,0.501,3.44900046355397e-06
"Smyd2",3.01843144358045e-10,-1.51872171812145,0.25,0.612,5.70242068321219e-06
"Ndn",1.1883551130074e-08,-1.35202837512242,0.262,0.604,0.000224504047949357
"Znhit1",2.94314816581309e-08,-1.08646838080457,0.333,0.654,0.000556019551485409
"Spin1",4.14390611466341e-08,-1.37756884933226,0.19,0.53,0.000782866743182211
"Atxn1",6.74110947531566e-08,-1.51568876904521,0.214,0.516,0.00127353040207663
"Smarca2",1.28718742210758e-07,-1.30749889059216,0.25,0.578,0.00243175447784564
"Satb1",6.46906088974694e-07,-1.20375658460627,0.238,0.531,0.0122213498329099
"Maged1",7.87710568508199e-07,-1.20479806403577,0.214,0.501,0.0148814280602569
"Ran",4.38079193153069e-06,1.09816412757189,0.714,0.698,0.0827619211704779
"Klhdc3",4.38832649941867e-06,-1.00116857315091,0.238,0.509,0.0829042642270174
"Dek",5.51347637105407e-06,1.01299728635101,0.607,0.478,0.104160595601953
