"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hmgb2",6.32329520376021e-76,5.59130108280422,0.679,0.1,1.19459692989438e-71
"Thra",4.2768204309371e-37,-2.06036956813974,0.464,0.981,8.07976915812636e-33
"Basp1",4.94433410934396e-37,-2.32402788513484,0.333,0.974,9.34083599937262e-33
"Meg3",1.47512608178807e-36,-1.6643336904795,0.738,0.999,2.78680819371402e-32
"Hmgn1",2.44758550335218e-28,1.9499904175356,0.905,0.634,4.62397853293293e-24
"Nfix",1.99920649779657e-26,-2.17847877625983,0.214,0.867,3.77690091563728e-22
"Bcl11a",9.56793392666712e-24,-2.3944496190328,0.214,0.795,1.80757407742595e-19
"Bend6",1.1204521633998e-22,-2.72889682806669,0.143,0.734,2.1167582270949e-18
"Id2",2.96228145930198e-21,-2.28779968859348,0.274,0.795,5.5963421329133e-17
"Prdx1",1.18799062872023e-20,1.78004528446432,0.869,0.604,2.24435189577825e-16
"Gpx1",8.87703946739625e-20,2.31455972267738,0.762,0.479,1.6770502961805e-15
"Apbb1",3.86358064134254e-19,-2.36200067687957,0.167,0.695,7.29907654762433e-15
"Zbtb18",9.54515599424882e-19,-1.88056411302322,0.25,0.777,1.80327087043349e-14
"Ppp3ca",1.52875586793878e-17,-1.30867150314647,0.464,0.898,2.88812558570993e-13
"H1f0",3.10809128547845e-17,2.02528654519852,0.738,0.459,5.87180605652588e-13
"Gsk3b",4.55989693500725e-17,-1.3931451817371,0.476,0.878,8.6145572896157e-13
"Usp22",1.92515375783877e-16,-2.14749735481134,0.19,0.671,3.63700047930901e-12
"Bmyc",3.47420218413196e-15,-1.60398392249929,0.333,0.767,6.56346276626211e-11
"Prkcb",3.7697811508884e-15,-2.2311182516432,0.202,0.648,7.12187055025837e-11
"Psip1",3.35110442700066e-14,-1.97466341510274,0.226,0.653,6.33090648348965e-10
"Chd3",3.61822700942021e-14,-1.44819225730415,0.333,0.758,6.83555446619665e-10
"Ndn",3.4525268775616e-13,-1.80468323978018,0.262,0.678,6.52251377708937e-09
"Anp32b",6.58596058764069e-12,2.08039063527829,0.512,0.242,1.24421967421708e-07
"Npm1",1.50877680889392e-11,1.20832507508988,0.81,0.678,2.8503811473624e-07
"Srpk2",1.68399547810285e-11,-1.20636818503136,0.405,0.782,3.1814042572319e-07
"Enc1",3.95821788507843e-11,-1.82271183350991,0.214,0.604,7.47786522849017e-07
"Mkrn1",4.19281040991268e-11,-1.01483776862495,0.298,0.672,7.92105742640703e-07
"Nfia",2.00104237896705e-10,-1.54680179846929,0.369,0.658,3.78036926234455e-06
"Actl6b",3.67295646498618e-10,-1.98002061273292,0.155,0.509,6.9389493536519e-06
"Dhx30",6.11447991103872e-10,-1.39957900868179,0.321,0.664,1.15514754479344e-05
"Nsmf",1.4786655591767e-09,-1.43619695964692,0.25,0.614,2.79349497439662e-05
"Smarca2",2.01801153486624e-09,-1.54709952353592,0.25,0.602,3.81242739166929e-05
"Znhit1",3.04201154360043e-09,-1.25481546699941,0.333,0.651,5.74696820816993e-05
"Smyd2",7.0138713772135e-07,-1.33009992304133,0.25,0.523,0.0132506058058317
"Dek",1.94826183357325e-06,1.02292278466326,0.607,0.436,0.0368065625598658
"Dpy30",2.07108684334588e-06,-1.10301532878103,0.333,0.576,0.0391269726444904
