"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spi1",7.91095918688932e-200,12.6162616847622,0.25,0,1.49453840958713e-195
"Top2a",1.01102698418195e-183,10.554808390842,0.262,0.001,1.91003217851655e-179
"Gper1",4.42966416021803e-155,8.54441181694404,0.286,0.003,8.36852153148391e-151
"Nupr1",2.18293619941987e-71,6.21697601607616,0.262,0.011,4.12400306794402e-67
"Mki67",7.1758324562192e-55,5.03847544411524,0.274,0.017,1.35565826762893e-50
"Hmgb2",1.56012084926274e-54,5.05162271433244,0.679,0.137,2.94738030842718e-50
"Smc4",3.59763504870623e-49,4.65314432713382,0.31,0.026,6.79665213401582e-45
"Hmg20b",2.87494790465832e-48,4.83699982312219,0.333,0.032,5.43135158148049e-44
"Meg3",6.29154679777582e-42,-1.96086408476585,0.738,0.999,1.18859902103581e-37
"Cks2",6.54558152047324e-39,4.42123500355189,0.357,0.046,1.2365912608478e-34
"Tcf4",2.0305213522983e-38,-1.87607398033686,0.631,0.997,3.83606093876195e-34
"Lamc1",1.11962184173427e-37,4.67659684498728,0.25,0.022,2.11518958340439e-33
"Nap1l5",4.83560266470939e-33,-3.59854678378748,0.143,0.833,9.13542055416899e-29
"Basp1",1.58397330864698e-30,-2.05480112787578,0.333,0.946,2.99244237469587e-26
"Cenpa",1.41215404818536e-28,4.4743532401301,0.381,0.073,2.66784142783179e-24
"Thra",2.74629197769125e-27,-1.6469665490169,0.464,0.967,5.18829480425431e-23
"Lmo2",1.96868424929537e-26,4.28730417528055,0.298,0.046,3.71923828376881e-22
"Prdx1",1.07472490830805e-24,2.05535906919028,0.869,0.564,2.03037029677558e-20
"Hmgn1",2.74710602116561e-24,1.73157621295117,0.905,0.697,5.18983269518607e-20
"Tmpo",8.17523620176979e-23,3.12980613992126,0.44,0.116,1.54446562323835e-18
"Tspyl4",9.39097049750542e-23,-4.5559296869709,0.06,0.637,1.77414214638872e-18
"Ptma",2.89425889584968e-22,1.02028341019117,1,0.994,5.46783390603921e-18
"Plcb1",3.30309865060386e-22,-3.06084111732996,0.179,0.709,6.24021397072081e-18
"H3f3b",1.03871058598917e-18,0.765269308313493,1,0.996,1.96233203905073e-14
"Ppp3ca",2.05294215648544e-18,-1.36304341727897,0.464,0.896,3.8784183220323e-14
"H1f0",3.66157463012294e-18,2.13789167875835,0.738,0.454,6.91744679122826e-14
"Zeb1",2.27622165519552e-17,3.14746933642591,0.25,0.047,4.30023795099538e-13
"Mef2c",2.6302971240433e-17,-1.21027517821727,0.655,0.951,4.96915732674261e-13
