"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sirt2",4.97426967997106e-18,-5.31093417555239,0.262,0.724,9.39739027940133e-14
"Nap1l5",3.47515387986657e-17,-3.31298568251108,0.143,0.687,6.56526070984392e-13
"Sox10",1.26043643732663e-16,-5.83795682463433,0.012,0.556,2.38121651739746e-12
"Cdk4",4.19587707325032e-10,-1.15233114262157,0.464,0.808,7.9268509667845e-06
"Maged1",1.02556668982692e-09,-2.18681096466693,0.214,0.575,1.93750059042101e-05
"Thra",6.58121070561481e-09,-1.32128293689531,0.464,0.757,0.000124332232650475
"Mef2c",8.07303876461114e-08,1.46134917094105,0.655,0.327,0.00152515848341034
"Gpx1",9.96918497081543e-08,1.45914051164932,0.762,0.579,0.00188337842468645
"Chtop",1.02247112147324e-07,-1.27164024862163,0.417,0.715,0.00193165244268724
"Psip1",1.53404955295598e-07,-2.0097542828003,0.226,0.523,0.00289812641544444
"Bmyc",0.000669131716816575,-1.03050623873928,0.333,0.537,1
"Hif1a",0.00460064393084272,-1.05125408066345,0.381,0.528,1
