"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bcl11b",8.2468153534523e-234,5.10463981024932,0.946,0.064,1.55798835657421e-229
"Fezf2",2.08801787425619e-223,5.32252505476459,0.901,0.057,3.94468336804479e-219
"Id2",5.6828279941205e-151,-4.50154421780666,0.306,0.989,1.07359986464924e-146
"Foxp1",1.80353382579937e-147,2.69454130379848,0.978,0.266,3.40723610370017e-143
"Bcl11a",9.14645061261619e-140,2.72638682726399,0.952,0.256,1.72794744973545e-135
"Tshz3",2.26248405313002e-130,4.02874127201025,0.685,0.076,4.27428487317323e-126
"Basp1",2.43401592344156e-129,2.25885550285163,0.994,0.318,4.59834288256579e-125
"Tle4",5.21305568780241e-126,3.15962096332496,0.78,0.118,9.84850480539631e-122
"Meg3",1.30777344893744e-117,2.13087615960853,1,0.518,2.47064559973261e-113
"Fos",3.94876772194267e-112,-7.43477017158587,0.038,0.821,7.4600119802941e-108
"Prdx1",2.83114223273978e-96,-2.68156542915204,0.605,0.935,5.34859390609199e-92
"Ccnd2",1.27230053100785e-90,-5.93311942671316,0.045,0.737,2.40363016318002e-86
"Satb1",4.54033644794554e-90,2.32711847208316,0.812,0.244,8.57760361745872e-86
"Thra",1.5821695728008e-89,1.59043913404199,0.981,0.56,2.98903475693527e-85
"Hes5",4.15875291606605e-88,-6.93135111317992,0.019,0.714,7.85671600903198e-84
"Bend6",3.66432519933663e-86,2.36415021057446,0.761,0.206,6.92264316658677e-82
"Pak1",7.4699153405528e-73,2.51204806602789,0.637,0.162,1.41121640613723e-68
"Gpx1",1.33513690804325e-72,1.93672487224071,0.806,0.278,2.52234064667531e-68
"Znhit1",3.91872161055131e-71,2.07072964766967,0.755,0.244,7.40324886665354e-67
"Usp22",1.42088505412443e-66,1.89360166977475,0.777,0.249,2.68433604425188e-62
"Mef2c",2.11807190440027e-66,1.08841211258305,0.997,0.438,4.001461441793e-62
"Chd3",3.52049739165653e-62,1.70528987566186,0.828,0.334,6.65092367231752e-58
"App",4.64946881537553e-56,1.58128489385769,0.831,0.335,8.78377648600746e-52
"Bhlhe22",7.43759516779656e-56,2.31678259516857,0.51,0.109,1.40511047910013e-51
"Lsm11",2.18030997844116e-54,2.17432990515548,0.548,0.141,4.11904161127104e-50
"Actb",3.27260159841438e-53,1.41879593045573,1,0.887,6.18259893972446e-49
"Glyr1",1.62624269886588e-50,2.14806600214499,0.586,0.187,3.07229770669741e-46
"Plcb1",1.15747264202744e-46,1.63845167527934,0.627,0.202,2.18669731531824e-42
"Psip1",1.90248043335809e-46,1.39579045617847,0.818,0.358,3.59416603470009e-42
"Spin1",1.43327144897386e-43,1.6717843833397,0.621,0.221,2.70773642140142e-39
"Enc1",2.76264530826967e-43,1.62765235451247,0.605,0.2,5.21918951638306e-39
"Ndn",1.59847926396742e-41,1.61037360924459,0.755,0.365,3.01984702548726e-37
"Bcl7a",3.56137969551153e-41,1.89878448238782,0.503,0.149,6.72815852076039e-37
"Ube2b",2.77733527458298e-40,1.33578666513151,0.787,0.384,5.24694180074216e-36
"Ppp3ca",1.87560191082842e-39,1.00263553165627,0.949,0.6,3.54338712993706e-35
"Ybx1",1.45933375764217e-38,1.01912981898881,0.901,0.556,2.75697333493758e-34
"Tspyl4",2.0617061063648e-35,1.64945414574067,0.51,0.174,3.89497517614439e-31
"Gnas",2.24417963873125e-34,1.0452010681811,0.879,0.509,4.23970417349109e-30
"Nfia",2.22847138965289e-33,-2.10628748042438,0.255,0.599,4.21002814933224e-29
"Trim37",2.43921044558185e-30,1.54283942147144,0.522,0.206,4.60815637379323e-26
"Mkrn1",7.85176524191939e-28,1.21237889620695,0.634,0.294,1.48335548950341e-23
"Hnrnpu",1.84241883787735e-24,1.1871686362662,0.64,0.324,3.48069766851788e-20
"Nsmf",1.18662530902849e-23,1.09560269756393,0.602,0.283,2.24177253381663e-19
"Huwe1",2.38037211893386e-22,1.16103157676774,0.522,0.238,4.49699900708984e-18
"Phf14",6.7664138813963e-22,1.08655989945946,0.564,0.27,1.27831091047339e-17
"Prmt2",1.7946672831856e-21,1.1340991494839,0.529,0.245,3.39048543139423e-17
"Ctnnb1",7.75766063337907e-21,1.16581196876745,0.548,0.257,1.46557724685797e-16
"Hmgn1",8.48145147408366e-16,-1.05059056285254,0.611,0.683,1.60231581248388e-11
