"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bcl11b",2.14864200149613e-79,5.66795459498228,0.946,0.056,4.0592144692265e-75
"Foxp1",1.67934273654066e-77,3.92346195844554,0.978,0.159,3.17261429787261e-73
"Fezf2",8.91554656709589e-76,7.42316325100101,0.901,0.019,1.68432505745576e-71
"Meg3",7.13338358078355e-75,2.64657232073957,1,0.79,1.34763882608163e-70
"Bcl11a",5.69471359781118e-74,4.08621189667874,0.952,0.117,1.07584529289849e-69
"Mef2c",6.190163865071e-63,2.41016184846354,0.997,0.327,1.16944575738921e-58
"Basp1",4.37045617115243e-62,2.17262513893107,0.994,0.463,8.25666579854117e-58
"Sox10",8.34925908968849e-50,-9.75841024816991,0,0.556,1.57734202722395e-45
"Cdk4",9.38277327776923e-48,-2.85398539243234,0.312,0.808,1.77259352763616e-43
"H3f3b",2.52921707006399e-46,-1.20467024953992,0.978,1,4.77819688876489e-42
"Ptma",4.43108521585813e-43,-1.1879072200564,0.971,0.991,8.37120618979918e-39
"Sirt2",9.01741048004038e-43,-5.8091147635612,0.252,0.724,1.70356918788923e-38
"Bend6",1.39582112806018e-42,3.01151634756407,0.761,0.159,2.63698527513129e-38
"Tshz3",1.96282515473572e-42,3.91222272092206,0.685,0.07,3.70816928232672e-38
"H1f0",2.74010605649675e-38,-3.67307906365541,0.127,0.626,5.17660836193365e-34
"Tle4",5.02820882120736e-38,2.53704247776331,0.78,0.187,9.49929210502494e-34
"Satb1",8.54557305295819e-36,2.20204989452687,0.812,0.276,1.61442966116486e-31
"Ran",6.69026363354525e-35,-1.89262515414935,0.637,0.86,1.26392460564937e-30
"Hmgb2",1.32370586953789e-33,-4.99978778629668,0.143,0.593,2.50074512873097e-29
"Znhit1",1.00594393315271e-30,2.05033463770115,0.755,0.248,1.9004292785121e-26
"Pak1",2.27831672691969e-28,2.27204962918324,0.637,0.121,4.30419596049668e-24
"Ppp3ca",2.70660894325048e-28,1.24293395725987,0.949,0.589,5.11332561558881e-24
"Bhlhe22",4.82372412196223e-27,3.70040442773458,0.51,0.061,9.11297961121104e-23
"Prdx1",5.11030421921783e-25,-1.64284847768154,0.605,0.799,9.65438673094633e-21
"Enc1",2.77054115475654e-23,2.04460978444273,0.605,0.145,5.23410634956606e-19
"Lsm11",7.48499880956176e-22,2.13032695184995,0.548,0.121,1.41406597510241e-17
"Ube2b",1.0277895805674e-21,1.38889134309062,0.787,0.416,1.94170007560793e-17
"Usp22",1.70832077064428e-21,1.45846354760495,0.777,0.327,3.22735959990117e-17
"Hmgn1",4.04444317516601e-21,-1.89096097456928,0.611,0.785,7.64076204652363e-17
"Spin1",8.51230115234835e-19,1.55379488730331,0.621,0.229,1.60814393370165e-14
"Nsmf",4.6845502870445e-18,1.59025705094477,0.602,0.201,8.85005240228448e-14
"Atrx",1.13245214784773e-17,1.07665857564502,0.838,0.449,2.13942859771394e-13
"Trim37",2.66042807091502e-17,1.9063022478426,0.522,0.145,5.02608071157265e-13
"Ndn",9.79461583449242e-16,1.2695529237722,0.755,0.402,1.85039882345231e-11
"Glyr1",3.87337285232642e-15,1.67442122058028,0.586,0.266,7.31757599261507e-11
"Nfix",3.3304849994664e-14,1.04276755567322,0.796,0.425,6.29195226099193e-10
"Zbtb18",6.2369098995931e-14,1.25088323022619,0.608,0.238,1.17827701823113e-09
"Nap1l5",6.61114239979052e-12,-1.32553311710959,0.503,0.687,1.24897702216843e-07
"Prmt2",7.04557410336582e-12,1.31250311543495,0.529,0.21,1.33104985960787e-07
"Npm1",1.75780676010086e-10,-1.05141229327911,0.646,0.738,3.32084853118254e-06
"Hif1a",3.12199407155735e-06,-1.20075817446668,0.398,0.528,0.0589807119998614
