"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mki67",2.32194982633793e-61,5.33786901481509,0.274,0.008,4.38662761191762e-57
"Top2a",1.36718234651239e-52,4.85754470943986,0.262,0.01,2.58288088903121e-48
"Lmo2",8.54126482755036e-52,5.65017504917779,0.298,0.015,1.61361575122081e-47
"Cenpa",4.44396475677894e-50,4.5622406373319,0.381,0.031,8.39553821850677e-46
"Cks2",1.32297059111371e-39,3.48957293403086,0.357,0.035,2.49935604073203e-35
"Basp1",1.81523924632893e-39,4.45469992148326,0.333,0.031,3.42934998416461e-35
"Hmgb2",3.99841994271697e-37,3.5662787919867,0.679,0.169,7.5538149557809e-33
"Zbtb18",1.16608907737473e-24,3.63440577941555,0.25,0.028,2.20297548497635e-20
"Phf14",2.06003036557745e-23,2.4621804887918,0.345,0.056,3.89180936664891e-19
"Ccnd2",5.50773422216801e-23,-2.70282885527721,0.143,0.734,1.04052114925198e-18
"Ybx1",5.66484108592052e-23,1.82872611469412,0.738,0.283,1.0702017779521e-18
"Spi1",1.12531969662836e-22,3.78854186371266,0.25,0.032,2.12595397087029e-18
"Bcas3",5.17236669202187e-18,-4.00823767748955,0.095,0.592,9.77163515456771e-14
"Smc2",1.81932715983612e-17,2.69595570893538,0.25,0.04,3.4370728703624e-13
"Tmpo",1.11001088903584e-16,2.09536682346361,0.44,0.123,2.0970325715665e-12
"Id2",1.55569650075541e-16,2.51975603512995,0.274,0.051,2.93902182922712e-12
"Actg1",3.39037659630639e-16,1.0247209322963,0.964,0.887,6.40509946574203e-12
"Auts2",1.17028310683549e-13,1.70728002789766,0.31,0.071,2.2108988454336e-09
"Ppp3ca",1.57882606723966e-12,1.88877321813265,0.464,0.169,2.98271820622916e-08
"Ctnnb1",7.3105858379623e-12,1.29872209691038,0.595,0.238,1.38111587650784e-07
"Smarca4",1.92148176495263e-11,1.43522546453203,0.357,0.102,3.63006335034851e-07
"Smc4",6.56701577446837e-11,1.71670651610824,0.31,0.088,1.24064062011256e-06
"H1f0",3.48170333581243e-10,1.1860313796102,0.738,0.442,6.57763394201684e-06
"Anp32e",3.95565395572198e-10,1.78874472548471,0.369,0.128,7.47302145314997e-06
"Tipin",1.20906197849313e-09,1.74502521918356,0.369,0.128,2.28415988976922e-05
"Nudt21",1.54585180923228e-09,1.40660918778544,0.464,0.187,2.92042323800162e-05
"Fus",1.65576953444665e-09,-1.23028513662174,0.524,0.74,3.12807980447662e-05
"Chd3",3.48724178480941e-09,1.55784297915421,0.333,0.111,6.58809717986195e-05
"Lmna",3.71231176317336e-09,-1.71349620897214,0.238,0.555,7.01329938298712e-05
"Nrip1",4.7809723242696e-09,1.57381061248399,0.286,0.088,9.03221291501013e-05
"Tbx2",1.91091142751427e-08,-2.65476716806555,0.06,0.368,0.000361009386885996
"Nucks1",2.88977941427278e-08,1.16962488562027,0.631,0.378,0.000545937126944413
"Smyd2",3.79861064266364e-08,1.27977986553451,0.25,0.073,0.000717633522612015
"Ran",6.36633186566556e-08,1.11214971940349,0.714,0.499,0.00120272741606154
"Npm1",8.75311296121548e-08,0.842819847216128,0.81,0.587,0.00165363810063283
"Hnrnpu",2.54759562872793e-07,0.880025564490848,0.524,0.241,0.0048129176617928
"Actn4",2.64570932552355e-07,-1.03614751967454,0.464,0.681,0.00499827405777909
"Aldoa",3.66725203656238e-07,-0.666594982878492,0.607,0.799,0.00692817254747365
"Atf5",5.50410447197778e-07,-3.00504894173404,0.083,0.337,0.0103983541684604
"Hmgn2",1.17184006750591e-06,1.48938005614666,0.536,0.308,0.0221384025553216
"Mbd3",1.33875465211562e-06,0.94311490741886,0.548,0.27,0.0252917528877682
"Ccnt2",1.6414691241354e-06,-1.98255170755303,0.167,0.399,0.0310106346931659
"Anp32b",1.70211770966118e-06,1.12677030820901,0.512,0.27,0.0321564077709191
"Lamc1",1.71450493248641e-06,-1.38641075626424,0.25,0.508,0.0323904271845333
"Ddx1",1.93686995890788e-06,1.23180733329782,0.274,0.102,0.0365913472636877
"Cdk2ap2",2.46976038667684e-06,-1.09193767446437,0.357,0.563,0.0466587132250988
"H3f3b",3.91300576074327e-06,0.386930703279418,1,0.998,0.0739245048319619
"Fbl",5.03401566592815e-06,1.02730088666568,0.333,0.137,0.0951026239607146
"Nap1l1",7.45315889027827e-06,1.02809318978761,0.571,0.346,0.140805077755137
"Naa50",8.0549105944748e-06,0.92569863047686,0.333,0.138,0.152173370950818
"Pbxip1",1.25919962944308e-05,-1.68738799736402,0.06,0.286,0.237887993994387
"Arid5a",1.85928870735264e-05,-2.31008507589689,0.071,0.282,0.35125682259306
"Pole4",3.57196766677636e-05,-0.997959973691672,0.464,0.583,0.67481613160739
"Yeats4",3.61656789272274e-05,0.979834899534795,0.298,0.13,0.683242006293179
"Sfpq",4.59153456617417e-05,0.897848080661209,0.452,0.231,0.867432710241625
"Ndn",4.6474341893871e-05,1.17091257087853,0.262,0.108,0.877993267059011
"Foxp1",6.76025445161763e-05,1.17655179278176,0.417,0.24,1
"Cbx6",7.40317694128697e-05,-2.36537585376416,0.095,0.277,1
"Smarca2",8.99467502062809e-05,0.907950593349142,0.25,0.102,1
"Rad21",9.02074542866135e-05,1.04041134144837,0.298,0.139,1
"BC004004",0.000149420111603992,0.827531311100742,0.345,0.174,1
"Actb",0.000197789641808043,-0.701787376330998,1,0.995,1
"Nsmf",0.000201244648123054,0.985676120533471,0.25,0.11,1
"Set",0.00020292488107781,0.774915521805738,0.464,0.258,1
"Gper1",0.000206084923852436,-0.597627210349015,0.286,0.521,1
"Hnrnpa2b1",0.000264717613051051,0.474397492366571,0.821,0.625,1
"Tcp1",0.000300998196081328,0.675256484808023,0.44,0.238,1
"Morf4l2",0.000301928098018604,0.623296991518145,0.619,0.392,1
"Ogt",0.000420150547501097,-1.06091944680306,0.31,0.471,1
"Cops5",0.000520027016337281,0.810860421128936,0.286,0.141,1
"Hmgn3",0.000557465101333802,-0.592872915933881,0.56,0.704,1
"Dek",0.000571191312253216,0.51985637761268,0.607,0.385,1
"Nr1h2",0.000677723184600729,-1.44957856976176,0.143,0.298,1
"Ube2a",0.000737423715264676,0.605180848693324,0.429,0.242,1
"Nono",0.000740699749165803,0.593642781137508,0.488,0.276,1
"Sin3b",0.000757654224428432,0.9077255879294,0.333,0.177,1
"Arid1a",0.000790279058830112,0.716282072531996,0.321,0.167,1
"Pink1",0.000841979826807777,0.974066747757043,0.274,0.134,1
"Babam1",0.000936233607675094,0.628013377091189,0.333,0.174,1
"Uhrf2",0.000954744784563685,-1.23117558280068,0.238,0.376,1
"Cdk4",0.000967362336580957,1.05088682580608,0.464,0.3,1
"Ctbp1",0.00111173748552899,1.0819796189546,0.274,0.138,1
"H3f3a",0.00125345824282197,-0.299697790528167,0.988,0.973,1
"Hmgb1",0.00130599109942637,0.45058106354185,0.893,0.765,1
"Smarce1",0.00143518336021681,0.645496059872416,0.417,0.247,1
"Rbbp4",0.0015097283132605,0.738452229110065,0.321,0.17,1
"Tcf4",0.0016759480502369,0.608104607565679,0.631,0.545,1
"Wac",0.00175220670492058,0.402762555575891,0.345,0.177,1
"Actl6a",0.00184850723731119,0.62172777106949,0.321,0.172,1
"Top2b",0.00207737882054037,0.344808339845582,0.357,0.185,1
"Cbx3",0.00285771860891966,0.55170529254856,0.429,0.254,1
"Utp3",0.00305154574335501,0.917945448924193,0.262,0.142,1
"Mkrn1",0.00331602891756587,1.04780576805357,0.298,0.159,1
"Nupr1",0.00343400817129156,-0.842528721221001,0.262,0.419,1
"Rbbp7",0.00395114463390478,0.571467606939414,0.357,0.203,1
"Tbx18",0.00423342569907418,-1.21642403952387,0.119,0.254,1
"Ash1l",0.00434718191174414,-1.50321570297612,0.155,0.274,1
"Kcnq1ot1",0.00453282064892698,-1.1990175935015,0.238,0.349,1
"Rnf4",0.00497700798804398,0.654297869998042,0.286,0.155,1
"Hmg20b",0.00566280121427854,-0.524161316923975,0.333,0.484,1
"Cux1",0.00638253047500435,0.65495885068101,0.262,0.144,1
"Sf3b1",0.00880909377041869,-0.791820423924951,0.429,0.509,1
"Sf3b5",0.0089916456688205,0.497448795798059,0.595,0.421,1
"Hif1a",0.00931178046880414,0.380923460786496,0.381,0.231,1
"Top1",0.00974633587361552,-0.576699349057677,0.476,0.542,1
"Nap1l4",0.00981294958683523,0.508977868871475,0.393,0.247,1
"Park7",0.0115365629547511,0.43670944652287,0.738,0.586,1
"Ppp4c",0.0120410353842643,0.431662520454292,0.429,0.267,1
"Pik3ca",0.0129147941553495,0.644447481508813,0.274,0.159,1
"Mier1",0.0142111680732579,-1.01407788307093,0.214,0.321,1
"Hdac2",0.0144658761083591,0.56312602923193,0.274,0.162,1
"Sumo1",0.0150206929946358,0.366954596213609,0.762,0.611,1
"Med25",0.0151711370788018,0.327052709238347,0.274,0.153,1
"Chtop",0.0169770082776066,0.460110406182189,0.417,0.274,1
"Smchd1",0.0211017068651477,0.435985752446139,0.25,0.144,1
"Tpr",0.0291049661480526,0.319591384230805,0.488,0.352,1
"Gatad2b",0.02957756510564,0.274010035630432,0.333,0.206,1
"Mettl23",0.0317454115534417,0.306501117574933,0.262,0.153,1
"Thra",0.0320920433986478,0.604761344782036,0.464,0.404,1
"Csnk2a1",0.0323056598421946,0.277058292234288,0.262,0.153,1
"Sirt2",0.0344891993878169,-0.9536782572499,0.262,0.335,1
"Hdgf",0.0384977924483682,0.274562123133677,0.44,0.294,1
"Ssrp1",0.0408720896281973,0.458017597948012,0.274,0.177,1
"Cbx1",0.049885626905153,0.261552643800657,0.536,0.371,1
