"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Casz1",1.70039800202017e-47,-5.10039215806207,0.008,0.348,3.21239190541651e-43
"Prkca",1.24767413240919e-42,-4.03213701119407,0.177,0.891,2.35710597094745e-38
"Nap1l5",1.82427521307959e-35,-4.04227244044556,0.323,0.957,3.44642073254996e-31
"Tox2",1.58923506811147e-33,-3.87064611811007,0.024,0.391,3.00238289067619e-29
"Prkcb",1.9894028792046e-29,-3.38728042354114,0.132,0.717,3.75837991939333e-25
"Ptma",1.52494917003719e-28,2.23687134179129,0.999,1,2.88093397203426e-24
"Actg1",6.15562191997372e-27,2.32673856521254,0.998,0.978,1.16292009312144e-22
"Cbx6",7.62323671314833e-27,-2.98239929057673,0.198,0.804,1.44018187984798e-22
"H3f3a",4.16953121351535e-26,2.00212875341673,0.992,0.913,7.87707836857321e-22
"Rit2",5.0654906650163e-26,-2.79520308238248,0.149,0.717,9.56972496434879e-22
"Zbtb7a",1.60138655496835e-24,-2.78221178670922,0.18,0.761,3.02533947964621e-20
"Aldoa",2.21678051964308e-23,-2.06985339778003,0.644,0.978,4.18794175770971e-19
"Tle4",3.9353157833724e-22,-1.90459944075575,0.322,0.957,7.43459857794714e-18
"H3f3b",6.94326071229203e-22,1.79429854274142,0.993,0.826,1.31172081376621e-17
"Mef2c",9.96839004051289e-22,1.55835674679879,0.997,0.978,1.88322824645369e-17
"App",1.91497470928829e-21,-2.27355511866803,0.644,1,3.61777022078743e-17
"Zdbf2",1.19140018566047e-20,-3.55160534814749,0.023,0.283,2.25079323074975e-16
"Ybx1",4.57043359272334e-20,2.86566665402081,0.889,0.413,8.63446314337293e-16
"Gnas",3.01329272472947e-19,-2.04767003152141,0.73,0.978,5.69271261555892e-15
"Tspyl4",8.87339700948073e-17,-1.94299397828434,0.439,0.891,1.6763621630311e-12
"Plcb1",1.26472377832698e-16,-1.92688601624501,0.455,0.87,2.38931616201533e-12
"Setd7",6.45837435639711e-16,-2.86296652152305,0.07,0.413,1.22011608341054e-11
"Id2",8.19014407784473e-16,4.72578002034836,0.758,0.196,1.54728201918643e-11
"Nap1l2",1.28837034836503e-14,-2.64299765874254,0.141,0.543,2.43398926213122e-10
"Thra",2.02344828149892e-14,1.19229251012168,0.968,0.957,3.82269849340775e-10
"Zeb1",2.97410337727972e-14,-2.80319664733162,0.048,0.326,5.61867610035684e-10
"Camta2",3.60283363195126e-14,-2.47173317704363,0.088,0.435,6.80647329748232e-10
"Sirt3",1.0437480434688e-13,-2.10032376803124,0.173,0.587,1.97184880372127e-09
"Pak1",1.10487127714023e-13,-1.31635929157286,0.613,0.957,2.08732281677332e-09
"Nfix",3.55555738704548e-13,1.92989878747673,0.874,0.609,6.71715901560633e-09
"Glyr1",4.15174570306997e-13,-1.79504060850518,0.33,0.761,7.84347798223979e-09
"Cited2",1.59391610880971e-12,-2.21825162373866,0.07,0.37,3.01122631276331e-08
"Ring1",6.29211518454061e-12,-1.95645912435652,0.117,0.478,1.18870640066341e-07
"Actb",9.08773709324788e-12,1.33068997807093,0.999,1,1.71685529165639e-07
"Nr3c1",1.6181896380083e-11,-1.99201671610859,0.15,0.522,3.05708386412528e-07
"Npm1",1.86524086592708e-11,1.57563375951113,0.851,0.652,3.52381304390944e-07
"Ppp3ca",2.19026809078415e-11,-1.02636648054093,0.791,0.978,4.13785447710942e-07
