0610010K14Rik,,GO:0003677,RIKEN cDNA 0610010K14 gene,protein_coding_gene
1700013H16Rik,,GO:0000785,RIKEN cDNA 1700013H16 gene,protein_coding_gene
4930402K13Rik,,GO:0045815,RIKEN cDNA 4930402K13 gene,protein_coding_gene
4930480E11Rik,,GO:0000785,RIKEN cDNA 4930480E11 gene,protein_coding_gene
a,,GO:0040029,nonagouti,protein_coding_gene
A1cf,,GO:0000792,APOBEC1 complementation factor,protein_coding_gene
Abraxas1,,GO:0006325,BRCA1 A complex subunit,protein_coding_gene
Acin1,,GO:0003676,apoptotic chromatin condensation inducer 1,protein_coding_gene
Acss2,,GO:0003682,acyl-CoA synthetase short-chain family member 2,protein_coding_gene
Actb,,GO:0000785,"actin, beta",protein_coding_gene
Actbl2,,GO:0035267,"actin, beta-like 2",protein_coding_gene
Actg1,,GO:0035267,"actin, gamma, cytoplasmic 1",protein_coding_gene
Actl6a,,GO:0000785,actin-like 6A,protein_coding_gene
Actl6b,,GO:0000785,actin-like 6B,protein_coding_gene
Actl9,,GO:0035267,actin-like 9,protein_coding_gene
Actn4,,GO:0031490,actinin alpha 4,protein_coding_gene
Actr5,,GO:0006338,ARP5 actin-related protein 5,protein_coding_gene
Actr6,,GO:0000786,ARP6 actin-related protein 6,protein_coding_gene
Actr8,,GO:0006338,ARP8 actin-related protein 8,protein_coding_gene
Actrt1,,GO:0003682,actin-related protein T1,protein_coding_gene
Adnp,,GO:0003682,activity-dependent neuroprotective protein,protein_coding_gene
Aebp2,,GO:0006325,AE binding protein 2,protein_coding_gene
Aff4,,GO:0000791,"AF4/FMR2 family, member 4",protein_coding_gene
Ahctf1,,GO:0000785,AT hook containing transcription factor 1,protein_coding_gene
Ahdc1,,GO:0140585,"AT hook, DNA binding motif, containing 1",protein_coding_gene
Aicda,,GO:0090310,activation-induced cytidine deaminase,protein_coding_gene
Aire,,GO:0003682,autoimmune regulator,protein_coding_gene
Airn,,GO:0141068,antisense Igf2r RNA,gene_product
Ajuba,,GO:0003682,ajuba LIM protein,protein_coding_gene
Akap8,,GO:0003682,A kinase anchor protein 8,protein_coding_gene
Akap8l,,GO:0000785,A kinase anchor protein 8-like,protein_coding_gene
Akirin1,,GO:0000785,akirin 1,protein_coding_gene
Akirin2,,GO:0000785,akirin 2,protein_coding_gene
Aldoa,,GO:0000792,"aldolase A, fructose-bisphosphate",protein_coding_gene
Alkbh1,,GO:0000791,"alkB homolog 1, histone H2A dioxygenase",protein_coding_gene
Alkbh4,,GO:0006325,"alkB homolog 4, lysine demethylase",protein_coding_gene
Anapc7,,GO:0000792,anaphase promoting complex subunit 7,protein_coding_gene
Ankrd17,,GO:0000785,ankyrin repeat domain 17,protein_coding_gene
Ankrd2,,GO:0000791,ankyrin repeat domain 2,protein_coding_gene
Ankrd31,,GO:0000785,ankyrin repeat domain 31,protein_coding_gene
Anp32b,,GO:0006334,acidic nuclear phosphoprotein 32 family member B,protein_coding_gene
Anp32e,,GO:0000812,acidic nuclear phosphoprotein 32 family member E,protein_coding_gene
Apbb1,,GO:0003682,amyloid beta precursor protein binding family B member 1,protein_coding_gene
Apex1,,GO:0031490,apurinic/apyrimidinic endonuclease 1,protein_coding_gene
Aplf,,GO:0071168,aprataxin and PNKP like factor,protein_coding_gene
Apobec1,,GO:0090310,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",protein_coding_gene
App,,GO:0003682,amyloid beta precursor protein,protein_coding_gene
Aptx,,GO:0000785,aprataxin,protein_coding_gene
Ar,,GO:0000785,androgen receptor,protein_coding_gene
Arb2a,,GO:0031048,ARB2 cotranscriptional regulator A,protein_coding_gene
Arid1a,,GO:0000785,AT-rich interaction domain 1A,protein_coding_gene
Arid1b,,GO:0000785,AT-rich interaction domain 1B,protein_coding_gene
Arid2,,GO:0000785,AT-rich interaction domain 2,protein_coding_gene
Arid3a,,GO:0003682,AT-rich interaction domain 3A,protein_coding_gene
Arid3c,,GO:0003682,AT-rich interaction domain 3C,protein_coding_gene
Arid4a,,GO:0071514,AT-rich interaction domain 4A,protein_coding_gene
Arid4b,,GO:0006325,AT-rich interaction domain 4B,protein_coding_gene
Arid5a,,GO:0003682,AT-rich interaction domain 5A,protein_coding_gene
Ark2n,,GO:0000785,arkadia (RNF111) N-terminal like PKA signaling regulator 2N,protein_coding_gene
Arrb1,,GO:0000785,"arrestin, beta 1",protein_coding_gene
Arx,,GO:0003682,aristaless related homeobox,protein_coding_gene
Ascl1,,GO:0003682,achaete-scute family bHLH transcription factor 1,protein_coding_gene
Ascl5,,GO:0000785,achaete-scute family bHLH transcription factor 5,protein_coding_gene
Asf1a,,GO:0000785,anti-silencing function 1A histone chaperone,protein_coding_gene
Asf1b,,GO:0000785,anti-silencing function 1B histone chaperone,protein_coding_gene
Ash1l,,GO:0003682,ASH1 like histone lysine methyltransferase,protein_coding_gene
Ash2l,,GO:0000791,ASH2 like histone lysine methyltransferase complex subunit,protein_coding_gene
Asxl1,,GO:0006325,ASXL transcriptional regulator 1,protein_coding_gene
Asxl2,,GO:0003682,ASXL transcriptional regulator 2,protein_coding_gene
Asxl3,,GO:0003682,ASXL transcriptional regulator 3,protein_coding_gene
Atad2,,GO:0003682,"ATPase family, AAA domain containing 2",protein_coding_gene
Atad2b,,GO:0003682,"ATPase family, AAA domain containing 2B",protein_coding_gene
Atf2,,GO:0000785,activating transcription factor 2,protein_coding_gene
Atf4,,GO:1990841,activating transcription factor 4,protein_coding_gene
Atf5,,GO:0003682,activating transcription factor 5,protein_coding_gene
Atf7ip,,GO:0090309,activating transcription factor 7 interacting protein,protein_coding_gene
Atf7ip2,,GO:0090309,activating transcription factor 7 interacting protein 2,protein_coding_gene
Atg5,,GO:0006325,autophagy related 5,protein_coding_gene
Atg7,,GO:0006325,autophagy related 7,protein_coding_gene
Atm,,GO:0035979,ataxia telangiectasia mutated,protein_coding_gene
Atoh1,,GO:0031490,atonal bHLH transcription factor 1,protein_coding_gene
Atp1b4,,GO:0000785,"ATPase Na+/K+ transporting, beta 4 polypeptide",protein_coding_gene
Atr,,GO:0035979,ataxia telangiectasia and Rad3 related,protein_coding_gene
Atrn,,GO:0003682,attractin,protein_coding_gene
Atrx,,GO:0000166,"ATRX, chromatin remodeler",protein_coding_gene
Atxn1,,GO:0003682,ataxin 1,protein_coding_gene
Atxn3,contributes_to,GO:0004407,ataxin 3,protein_coding_gene
Atxn7,,GO:0000124,ataxin 7,protein_coding_gene
Atxn7l3,,GO:0000124,ataxin 7-like 3,protein_coding_gene
Aurka,,GO:0035175,aurora kinase A,protein_coding_gene
Aurkb,,GO:0044022,aurora kinase B,protein_coding_gene
Auts2,,GO:0003682,autism susceptibility candidate 2,protein_coding_gene
Axin1,,GO:0044725,axin 1,protein_coding_gene
Babam1,,GO:0006325,BRISC and BRCA1 A complex member 1,protein_coding_gene
Babam2,,GO:0006325,BRISC and BRCA1 A complex member 2,protein_coding_gene
Bag6,,GO:0006325,BCL2-associated athanogene 6,protein_coding_gene
Bahcc1,,GO:0003682,BAH domain and coiled-coil containing 1,protein_coding_gene
Bahd1,,GO:0003682,bromo adjacent homology domain containing 1,protein_coding_gene
Banf1,,GO:0000785,BAF nuclear assembly factor 1,protein_coding_gene
Banp,,GO:0006325,BTG3 associated nuclear protein,protein_coding_gene
Bap1,,GO:0003682,Brca1 associated protein 1,protein_coding_gene
Barx2,,GO:0003682,BarH-like homeobox 2,protein_coding_gene
Basp1,,GO:0000785,"brain abundant, membrane attached signal protein 1",protein_coding_gene
Baz1a,,GO:0005721,bromodomain adjacent to zinc finger domain 1A,protein_coding_gene
Baz1b,,GO:0006338,"bromodomain adjacent to zinc finger domain, 1B",protein_coding_gene
Baz2a,,GO:0000183,"bromodomain adjacent to zinc finger domain, 2A",protein_coding_gene
BC004004,,GO:0006338,cDNA sequence BC004004,protein_coding_gene
Bcas3,,GO:0000791,BCAS3 microtubule associated cell migration factor,protein_coding_gene
Bcl11a,,GO:0016514,BCL11 transcription factor A,protein_coding_gene
Bcl11b,,GO:0016514,B cell leukemia/lymphoma 11B,protein_coding_gene
Bcl6,,GO:0031507,B cell leukemia/lymphoma 6,protein_coding_gene
Bcl7a,,GO:0000785,B cell CLL/lymphoma 7A,protein_coding_gene
Bcl7b,,GO:0000785,B cell CLL/lymphoma 7B,protein_coding_gene
Bcl7c,,GO:0000785,B cell CLL/lymphoma 7C,protein_coding_gene
Bcor,,GO:0006325,BCL6 interacting corepressor,protein_coding_gene
Bcorl1,,GO:0006325,BCL6 co-repressor-like 1,protein_coding_gene
Bend3,,GO:0000183,BEN domain containing 3,protein_coding_gene
Bend6,,GO:0003682,BEN domain containing 6,protein_coding_gene
Bhlhe22,,GO:0003682,"basic helix-loop-helix family, member e22",protein_coding_gene
Bicra,,GO:0000785,BRD4 interacting chromatin remodeling complex associated protein,protein_coding_gene
